,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1636,花样厨神,5.2,10546813,0.9999999999989393,['金镇雅'],"['乔治·黄', '金镇雅']","['刘宪华', '杨紫琼', '黄经汉', '张铮', '吴宇卫']",剧情,2016-08-26(中国大陆),42401,97
1637,诡新娘,3.1,26437676,0.9999998438618471,"['王健', '李纪正']","['马宁', '张翔宇', '王健', '李纪正']","['苏菲', '刘骐', '杨济妤', '陈国良', '温春荣']",悬疑,2016-08-26(中国大陆),42401,94
1638,在世界中心呼唤爱,7.6,1315570,0.9999999999969136,['行定勋'],"['坂元裕二', '行定勋', 'Kyouichi Katayama', '伊藤千寻']","['大泽隆夫', '柴崎幸', '长泽雅美', '森山未来', '山崎努']",剧情,2004-05-08(日本),282382,138
1639,白雪公主和三只小猪,3.6,27021323,0.004724829789614637,['刘炜'],"['王超远', '王骏']","['王晓彤', '李晔', '洪海天', '严丽祯', '贾邱']",动画,2017-05-27(中国大陆),282382,80
1640,疯狂的疯狂,3.8,26848626,0.9918315426270721,['何中华'],['王晓璇'],"['何中华', '雷振威', '仇世有', '张钰茜', '任希鸿']",喜剧,2016-08-26(中国大陆),146,109
1641,寄生兽,7.4,25774050,0.999999999999986,['山崎贵'],"['岩明均', '古泽良太']","['染谷将太', '深津绘里', '阿部隆史', '桥本爱', '东出昌大']",剧情,2016-09-02(中国大陆),146,109
1642,星际迷航3：超越星辰,7.3,22939161,1.0,['林诣彬'],"['西蒙·佩吉', '道格·郑', '吉恩·罗登贝瑞', '罗伯托·奥奇', '约翰·D·佩恩', '派特里克·麦凯']","['克里斯·派恩', '扎克瑞·昆图', '佐伊·索尔达娜', '西蒙·佩吉', '安东·叶利钦']",动作,2016-09-02(中国大陆),48521,122
1643,蹴鞠,2.5,25863024,0.7111286040636827,['刘镇伟'],"['何炅', '钟欣潼', '蔡卓妍', '邓丽欣', '马丽', '杜海涛', '李维嘉', '吴昕', '林子聪', '李菁', '元奎', '袁祥仁', '沈凌', '刘维']",[],喜剧,2017-06-30(中国大陆),48521,84
1644,小魔仙之黑魔法来袭,2.6,26861033,0.062434843632271586,['方晓罡'],['林丹妮'],"['吴恙', '陈旭', '张净桐']",剧情,2016-09-02(中国大陆),16559,90
1645,长江图,6.7,7062596,1.0,['杨超'],['杨超'],"['秦昊', '辛芷蕾', '邬立朋', '江化霖', '谭凯']",剧情,2016-09-09(中国大陆),16559,116
