,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like
1119,机器纪元,6.2,6873819,1.0,['加贝·伊班内兹'],"['加贝·伊班内兹', '伊戈尔·拉格瑞塔', '哈维尔·桑切斯·唐纳特']","['安东尼奥·班德拉斯', '迪伦·麦克德莫特', '梅兰尼·格里菲斯', '比吉特·约尔特·索伦森', '罗伯特·福斯特']",科幻,360,93,2014,11,28,931.0,17233.0,54183.0,106379.0,-3.0,0.0,0.0,0.0
1120,青春时光,2.3,25980432,0.990606063648732,['王静儿'],"['陈思伟', '丁晓阳', '斌子']","['郑中玉', '彤阳', '张雷雨', '李欣蔓', '邢城']",剧情,360,96,2014,11,28,886.0,18062.0,28037.0,194813.0,0.0,0.0,0.0,0.0
1121,太平轮（上）,5.8,3078390,1.0,['吴宇森'],"['王蕙玲', '苏照彬', '陈静慧']","['章子怡', '金城武', '宋慧乔', '黄晓明', '佟大为']",剧情,908,129,2014,12,02,74.0,5576.0,31003.0,27536.0,-50.0,-1089.0,-5452.0,-1550.0
1122,密道追踪之阴兵虎符,3.4,25852270,1.0,['俞岛'],"['俞岛', '俞胜利']","['唐文龙', '母其弥雅', '李炳渊', '李涛', '郭达']",动作,908,95,2014,12,05,559.0,57608.0,598486.0,1080782.0,-384.0,-51748.0,-581621.0,-1041793.0
1123,谁动了我的梦想,3.7,21340764,0.8780120007947647,"['王伟', '毕国书']",['仧縯'],"['立威廉', '张蓝心', '胡兵', '贺彬', '苑琼丹']",剧情,3081,90,2014,12,11,115.0,5024.0,6053.0,76108.0,-91.0,-4038.0,-5721.0,-49258.0
1124,鸣梁海战,7.0,7065161,0.9999999999999964,['金韩民'],"['全哲洪', '金韩民']","['崔岷植', '柳承龙', '赵震雄', '晋久', '李贞贤']",剧情,3081,109,2014,12,12,5.0,551.0,450.0,1280.0,-1.0,-170.0,-16.0,-703.0
1125,我的早更女友,5.4,25834473,1.0,['郭在容'],"['曹金玲', '宝卿', '严苏倩']","['周迅', '佟大为', '钟汉良', '张梓琳', '郭书瑶']",喜剧,81862,98,2014,12,12,175.0,5109.0,2772.0,14706.0,-109.0,0.0,0.0,0.0
1126,一步之遥,6.3,6126442,1.0,['姜文'],"['姜文', '郭俊立', '王朔', '廖一梅', '述平', '阎云飞', '孙悦', '孙睿', '于彦琳']","['姜文', '葛优', '周韵', '舒淇', '文章']",剧情,81862,140,2014,12,18,3.0,6.0,10.0,49.0,0.0,0.0,0.0,0.0
1127,37次想你,4.0,25728484,0.999999999911748,['郭廷波'],['郭廷波'],"['付辛博', '白冰', '谭维维', '傅颖', '吉杰']",爱情,7707,91,2014,12,24,653.0,2588.0,2335.0,21737.0,-489.0,558.0,329.0,1825.0
1128,微爱之渐入佳境,4.6,24751757,1.0,['顾长卫'],['顾伟'],"['杨颖', '陈赫', '张鲁一', '曹璐', '王姬']",喜剧,7707,98,2014,12,24,222.0,73979.0,1010517.0,67276.0,-91.0,-8124.0,-9923.0,-2855.0
1130,抢劫坚果店,6.5,25817617,0.9999999995315992,['卡尔·布伦克尔'],"['鲍勃·巴伦', '卡尔·布伦克尔', '斯科特·宾德利', '彼得·莱佩尼奥蒂斯', '丹尼尔·吴']","['威尔·阿奈特', '凯瑟琳·海格尔', '玛娅·鲁道夫', '成龙', '伊莎贝拉·莫奈']",喜剧,51596,91,2017,08,11,938.0,1006763.0,1011076.0,659884.0,1.0,-999990.0,-999979.0,-503637.0
1131,怨灵人偶,2.8,21967905,0.9999999999933652,['石井辉仪'],"['钱海毅', '虞俏']","['汪东城', '周奇奇', '李逸朗', '蒋婧', '虞朗']",惊悚,54,84,2014,12,31,420.0,10607.0,16646.0,33552.0,-233.0,388.0,-4039.0,-4028.0
1132,十万个冷笑话,7.4,26759539,1.0,"['卢恒宇', '李姝洁']","['卢恒宇', '李姝洁', '寒舞', '隋佳林', '高信影', '赵聪']","['山新', '郝祥海', '李姝洁', '藤新', '图特哈蒙']",喜剧,54,101,2017,08,18,121.0,3935.0,34952.0,12124.0,-101.0,517.0,-27330.0,10.0
1133,王牌,4.6,25743807,0.9999999999998544,['范建浍'],"['范建浍', '陈建忠', '吴放']","['林志玲', '梁家辉', '钟欣潼', '蒙亭宜', '邬君梅']",剧情,379874,90,2014,12,31,603.0,3478.0,780.0,4500.0,-327.0,0.0,0.0,0.0
